epoch,train_loss,train_accuracy,validation_loss,validation_accuracy,validation_macro_f1,learning_rate,epoch_seconds
1,2.2575254264484754,0.36352727272727275,2.23845,0.3702,0.35420171155252034,0.0005,29.599703700005193
2,2.14466045851274,0.6546363636363637,2.13145,0.5396,0.5324137549200342,0.0005,22.817679800005862
3,2.0219193359201606,0.744890909090909,2.01635,0.6326,0.6266553196258206,0.0005,22.90782439999748
4,1.9034810548088767,0.7858,1.9039,0.7076,0.704327587199068,0.0005,22.62210249999771
5,1.7894223900361494,0.8108363636363637,1.81405,0.7312,0.7292741711721387,0.0005,22.903718500005198
6,1.6804144888617776,0.8274727272727272,1.7588,0.6982,0.6967086848309785,0.0005,22.898330399999395
7,1.5741296696922995,0.8364545454545455,1.62215,0.7596,0.7589640663034837,0.0005,22.572640900005354
8,1.4795789770473133,0.8446,1.53045,0.7766,0.7755330795887561,0.0005,22.91969139999128
9,1.3975571908604014,0.8498727272727272,1.452725,0.801,0.8000519116926192,0.0005,22.78796269999293
10,1.3216990147677334,0.8558545454545454,1.429225,0.775,0.7750347518385616,0.0005,22.835052800000994
11,1.2521404918497259,0.8606181818181818,1.325875,0.807,0.806461246620791,0.0005,22.92980370001169
12,1.186241584032232,0.8652727272727273,1.265325,0.808,0.807863384091738,0.0005,22.783806699997513
13,1.1303788841767746,0.8676,1.2446,0.804,0.8030936604224902,0.0005,22.748289800001658
14,1.0767246271306818,0.8721818181818182,1.17575,0.812,0.8116866354090984,0.0005,22.9185046999919
15,1.0235186389229514,0.8746363636363637,1.123375,0.8284,0.8284469366307666,0.0005,22.731200899987016
16,0.9760990678787231,0.8780545454545454,1.029125,0.853,0.8520022297438811,0.0005,22.728601199996774
17,0.9324761941649697,0.878109090909091,1.024525,0.837,0.8366244493858543,0.0005,22.9289684999967
18,0.8911373889316212,0.8813454545454545,0.9879,0.8382,0.8378951256887206,0.0005,22.81452939999872
19,0.8541107399940491,0.8832181818181818,1.005975,0.8132,0.813454208392615,0.00025,22.74363070000254
20,0.8203030694788153,0.8855636363636363,0.892275,0.8616,0.8610016460605499,0.00025,22.914151899996796
21,0.7980181351314891,0.8888545454545455,0.880675,0.858,0.8576200837556763,0.00025,22.827472399992985
22,0.7796336382085627,0.8900545454545454,0.884725,0.8486,0.8484441117795509,0.00025,22.820583299995633
23,0.7582058705329895,0.8919090909090909,0.853,0.8556,0.8555666918710256,0.000125,22.94205769999826
24,0.7417751175360247,0.8932363636363636,0.84705,0.856,0.8557729056603378,0.000125,22.676405700010946
25,0.7325156293955716,0.8935272727272727,0.8491,0.853,0.8530280592107582,0.000125,22.709420600003796
