epoch,train_loss,train_accuracy,validation_loss,validation_accuracy,validation_macro_f1,learning_rate,epoch_seconds
1,2.2354961296428333,0.3643090909090909,2.1717,0.4658,0.4285165266795018,0.001,20.945806499992614
2,2.106618093178489,0.5103454545454545,2.05295,0.5134,0.48640519248365505,0.001,14.017295500001637
3,1.9932240589141845,0.5344181818181818,1.94865,0.5296,0.5097376952369249,0.001,14.2080244999961
4,1.89398368249373,0.5466545454545455,1.857125,0.5424,0.5280936475790747,0.001,14.317842800010112
5,1.8070248581452804,0.5543454545454546,1.7771,0.5516,0.5405212166747311,0.001,14.243380900006741
6,1.7308405985051936,0.5605636363636364,1.7069,0.5578,0.5477978080522623,0.001,14.130772300006356
7,1.664024120903015,0.5680545454545455,1.64525,0.5632,0.5542463947084247,0.001,14.05421309999656
8,1.6051947886900468,0.5739454545454545,1.5907,0.5686,0.5609947586303714,0.001,14.008427499997197
9,1.5532938874851574,0.576709090909091,1.543025,0.5724,0.5650957769673777,0.001,14.278584400002728
10,1.5072452505111695,0.5822363636363637,1.500025,0.5786,0.572055177217887,0.001,14.100949199986644
11,1.4662007858276367,0.5882181818181819,1.462175,0.5876,0.5815765981450334,0.001,14.001408600001014
12,1.429399502615495,0.5937272727272728,1.42775,0.592,0.5864350015802706,0.001,14.151353000008385
13,1.3963074484391647,0.5978909090909091,1.39725,0.6002,0.5950003434875959,0.001,14.06382239999948
14,1.3662789263118398,0.6040727272727273,1.36915,0.6044,0.5997314793589573,0.001,14.371839199986425
15,1.3389780142177234,0.6089818181818182,1.343625,0.608,0.6033831094740202,0.001,14.139958299987484
16,1.3140576094887473,0.6135818181818182,1.320425,0.613,0.6085243170204546,0.001,13.982551699999021
17,1.2911383591045034,0.6190181818181818,1.299125,0.6164,0.6120508926234676,0.001,14.041207100002794
18,1.2699916161103681,0.624109090909091,1.27955,0.619,0.6142419959266191,0.001,14.0737339000043
19,1.2504718527533791,0.6295272727272727,1.26135,0.6226,0.6180235454942741,0.001,14.150822399999015
20,1.232318073203347,0.6332181818181818,1.24435,0.6262,0.6218672413516126,0.001,14.088369999997667
