epoch,train_loss,train_accuracy,validation_loss,validation_accuracy,validation_macro_f1,extractor_lr,quantum_lr,head_lr,extractor_grad_sum,quantum_grad_sum,head_grad_sum
1,2.1505079696308482,0.3900363636363636,2.023970031738281,0.439,0.40783314937699977,0.0001,0.0005,0.003,0.0,3.441311550704995,22.134893408045173
2,1.9091878518538041,0.4788181818181818,1.8280244262695313,0.4724,0.4519756749484592,0.0001,0.0005,0.003,0.0,7.072936496231705,19.815127661451697
3,1.719267481249029,0.5570363636363637,1.8323235687255859,0.4108,0.4166780850454842,0.0001,0.0005,0.001,704.016694413498,12.67328459653072,20.521223234012723
4,1.5571099624807185,0.6305818181818181,1.7107514739990235,0.469,0.4715187485664648,0.0001,0.0005,0.001,722.9209621548653,10.34758431976661,20.552048528566957
5,1.4388828380758112,0.6719090909090909,1.6829027435302735,0.456,0.46277162454690685,0.0001,0.0005,0.001,762.9000783171505,10.213449326576665,20.345185356214643
6,1.3326543684352528,0.7055818181818182,1.573131771850586,0.512,0.5155757238115821,0.0001,0.0005,0.001,791.7610263042152,10.634876913856715,19.54170603118837
7,1.2349054441798817,0.7326,1.4564811065673828,0.5624,0.5634190904533479,0.0001,0.0005,0.001,836.6449723970145,11.14951942767948,18.361710318364203
8,1.1437789836016568,0.7543636363636363,1.4215508819580078,0.558,0.5607917472677527,0.0001,0.0005,0.001,838.0263564018533,11.419536412227899,17.49314425699413
9,1.0611331974896518,0.7748727272727273,1.3563213836669923,0.5788,0.5827426158974445,0.0001,0.0005,0.001,863.6983330678195,11.651154097635299,16.2651821738109
10,0.9892522421143272,0.7872181818181818,1.3019817565917968,0.5926,0.595237171543144,0.0001,0.0005,0.001,inf,12.46583966189064,15.393187519162893
11,0.9254129250266335,0.7958545454545455,1.2108984649658203,0.6294,0.630730621514489,0.0001,0.0005,0.001,906.6773372143507,12.660762821557,14.503066018223763
12,0.8662650115446611,0.8047090909090909,1.1656830047607423,0.6348,0.6356200537856695,0.0001,0.0005,0.001,920.9063467010856,12.961795662064105,13.699131663888693
