epoch,train_loss,train_accuracy,validation_loss,validation_accuracy,validation_macro_f1,extractor_lr,quantum_lr,head_lr,extractor_grad_sum,quantum_grad_sum,head_grad_sum
31,0.2645791351101615,0.9290181818181819,0.30037790756225585,0.9198,0.9200292170033737,5e-05,0.00025,0.0005,inf,95.94260303699411,5.9557656780816615
32,0.25976096940474075,0.9295272727272728,0.29804997482299805,0.9182,0.9183849333710201,5e-05,0.00025,0.0005,1389.4457592051476,95.08823689236306,5.806132346857339
33,0.25648013529777525,0.9311090909090909,0.29550638084411623,0.9194,0.919591940483256,5e-05,0.00025,0.0005,1438.4560291171074,96.73095582379028,5.7662431872449815
34,0.2548663056503643,0.9300909090909091,0.2927677742004395,0.9212,0.9213521616615233,5e-05,0.00025,0.0005,1465.8204391319305,98.02454477990977,5.793611645698547
35,0.2515003521529111,0.9313090909090909,0.28770345764160155,0.921,0.9212363815066652,5e-05,0.00025,0.0005,1353.8539140298963,98.48427760088816,5.783147651236504
36,0.24867216440547596,0.9324545454545454,0.2850605354309082,0.9238,0.9239057827527029,5e-05,0.00025,0.0005,1306.5724583938718,98.54650734458119,5.761314181610942
37,0.2450198797269301,0.9327272727272727,0.28001639213562013,0.926,0.9261183885043918,5e-05,0.00025,0.0005,1411.1161489579827,98.10815177694894,5.564666781108826
38,0.24422953383272344,0.9337636363636364,0.2894866905212402,0.9206,0.9207747365560668,5e-05,0.00025,0.0005,1354.1743953973055,98.7370965606533,5.713771667331457
39,0.24204907713803378,0.9333272727272727,0.27807838745117186,0.9256,0.9257637251543244,5e-05,0.00025,0.0005,1395.9858928639442,99.3639155337587,5.536707991268486
40,0.23956013050512834,0.9335636363636364,0.278853662109375,0.9232,0.9233888475893842,2.5e-05,0.000125,0.00025,inf,98.71608543233015,5.590866360813379
41,0.23704490115425803,0.9350545454545455,0.27497397613525393,0.9236,0.9237544948255421,2.5e-05,0.000125,0.00025,1382.6977218724787,98.48852065391839,5.600481819128618
42,0.23642836382822557,0.9341090909090909,0.27610363121032716,0.9232,0.9233321081961039,2.5e-05,0.000125,0.00025,1333.9314905926585,99.36352018988691,5.458640132565051
43,0.23473807647444986,0.9347818181818182,0.2760549427032471,0.9242,0.924315481718034,1.25e-05,6.25e-05,0.000125,1354.7279042564332,98.06095094024204,5.409847836010158
