epoch,train_loss,train_accuracy,validation_loss,validation_accuracy,validation_macro_f1,extractor_lr,quantum_lr,head_lr,extractor_grad_sum,quantum_grad_sum,head_grad_sum
1,2.065289729915966,0.5478727272727273,1.7533235107421874,0.7392,0.7396051942756363,0.0001,0.0005,0.003,0.0,42.28090522107232,23.72607379592955
2,1.4301074224125254,0.7866909090909091,1.1795227630615235,0.8034,0.8037795731024474,0.0001,0.0005,0.003,0.0,83.8165066253714,22.233318619430065
3,1.0641841181494973,0.8398545454545454,1.0135781707763671,0.8448,0.846017297416599,0.0001,0.0005,0.001,1105.7069875523448,102.8198184192297,20.025822343304753
4,0.9300855835741216,0.8590181818181818,0.903785122680664,0.8464,0.8474719322504232,0.0001,0.0005,0.001,1109.6909996178001,93.73542297646054,19.28952625952661
5,0.8197538611238653,0.8697454545454546,0.7939303009033203,0.8638,0.8650338620490265,0.0001,0.0005,0.001,1100.9691035337746,89.84798708942253,17.948473006486893
6,0.7314745208653537,0.8774363636363637,0.7130128738403321,0.8714,0.8727010726593415,0.0001,0.0005,0.001,1200.598199363798,89.5932378830912,16.41451772209257
7,0.6589862372138283,0.8827818181818182,0.6527455459594727,0.8758,0.8767244071931927,0.0001,0.0005,0.001,1204.2262553889304,87.83031530771405,14.795326971448958
8,0.5967604628649625,0.8874181818181818,0.5997291091918945,0.879,0.8798169811637833,0.0001,0.0005,0.001,1268.7446713149548,87.55073746183189,13.654484948143363
9,0.545873551680825,0.8906727272727273,0.5533751602172852,0.8812,0.8821353638393046,0.0001,0.0005,0.001,1261.8672952931374,85.74910696904408,12.21153362095356
10,0.5064361299991608,0.8946727272727273,0.5197250900268555,0.8856,0.8863445157342156,0.0001,0.0005,0.001,inf,87.62791728868615,11.236798908561468
11,0.4748127053044059,0.8980727272727272,0.48975958404541015,0.8902,0.8910244495780522,0.0001,0.0005,0.001,1343.5920927468687,87.4661495538312,10.4012386277318
12,0.44779810167225925,0.9017818181818181,0.46623714294433594,0.8954,0.8961063454220414,0.0001,0.0005,0.001,1271.2065076641738,86.10519697866403,9.884425922296941
13,0.4251786736054854,0.9032,0.44574301834106445,0.8978,0.8983754727158944,0.0001,0.0005,0.001,1287.3699340764433,86.78225971444044,9.20817676000297
14,0.4070410724553195,0.9058545454545455,0.4397173370361328,0.8948,0.8952574827293052,0.0001,0.0005,0.001,1330.7015468589962,88.80038832966238,8.8904321314767
15,0.3959640234860507,0.9062545454545454,0.4217584548950195,0.8972,0.8976972628002551,0.0001,0.0005,0.001,inf,90.13274016720243,8.701895491220057
16,0.37923443336920304,0.9106363636363637,0.41158254776000974,0.8992,0.8995970233356774,0.0001,0.0005,0.001,1412.752459101379,89.95761827146634,8.241472825407982
17,0.3655136144768108,0.9102,0.3970770347595215,0.9004,0.9008832842949481,0.0001,0.0005,0.001,1432.0619297884405,90.69202081381809,7.951148451305926
18,0.3524266504807906,0.9134,0.38047094268798826,0.9018,0.9024238095225472,0.0001,0.0005,0.001,1414.990438889712,90.81986574805342,7.632207029499114
19,0.34022440833178436,0.9149636363636363,0.3704791114807129,0.9066,0.9070271507019034,0.0001,0.0005,0.001,1386.428301865235,91.30856903945096,7.30358846578747
20,0.3290453987598419,0.9171818181818182,0.3630493148803711,0.906,0.9062729031520579,0.0001,0.0005,0.001,1405.4305908028036,92.34487357432954,7.04404504597187
21,0.3210700336933136,0.9196181818181818,0.35101358795166016,0.9094,0.9098429819496705,0.0001,0.0005,0.001,1422.6773766037077,93.15467053267639,7.00334682688117
22,0.3127127803889188,0.9207454545454545,0.34768863830566404,0.9118,0.9121236649712159,0.0001,0.0005,0.001,1397.326446697116,93.57435761857778,6.648184785153717
23,0.3050992002725601,0.9213272727272728,0.3350785850524902,0.914,0.9142987477156279,0.0001,0.0005,0.001,1447.1814035065472,94.73611849499866,6.6232170895673335
24,0.2955979767409238,0.9240181818181818,0.32591989517211917,0.917,0.9171460917731883,0.0001,0.0005,0.001,inf,94.79453681898303,6.548099999316037
25,0.29005629019737245,0.9238,0.32866992492675784,0.9116,0.9119306388948509,0.0001,0.0005,0.001,1437.9232656881213,94.00729411630891,6.310859841760248
26,0.2851492595976049,0.9247090909090909,0.3257148292541504,0.917,0.9170617097739081,0.0001,0.0005,0.001,1504.293963337317,95.33914757496677,6.388897547032684
27,0.277553162206303,0.9256545454545455,0.3087941459655762,0.9162,0.9164432669015021,5e-05,0.00025,0.0005,1311.204204697162,95.13192463340238,6.2543062986806035
28,0.2720908315745267,0.9279636363636363,0.3046003562927246,0.9198,0.9199306531073315,5e-05,0.00025,0.0005,1331.4494431260973,93.65143084619194,6.09591048117727
29,0.2693506195241755,0.9292545454545454,0.3031946090698242,0.9194,0.919496954484206,5e-05,0.00025,0.0005,1407.7356328330934,95.25664271763526,5.981174543499947
30,0.26637781810760497,0.9284727272727272,0.3002515022277832,0.9214,0.9216018416150804,5e-05,0.00025,0.0005,1406.2154484651983,95.96867287578061,5.861093170475215
