epoch,train_loss,train_accuracy,validation_loss,validation_accuracy,validation_macro_f1,extractor_lr,quantum_lr,head_lr,extractor_grad_sum,quantum_grad_sum,head_grad_sum
1,2.065289729915966,0.5478727272727273,1.7533235107421874,0.7392,0.7396051942756363,0.0001,0.0005,0.003,0.0,42.28090522107232,23.72607379592955
2,1.4301074224125254,0.7866909090909091,1.1795227630615235,0.8034,0.8037795731024474,0.0001,0.0005,0.003,0.0,83.8165066253714,22.233318619430065
3,1.0644007317282937,0.8401454545454545,1.0136942291259765,0.844,0.8451583139246474,0.0001,0.0005,0.001,1116.090734994039,103.12715823517647,20.023341298103333
4,0.929444332001426,0.8591818181818182,0.901838314819336,0.8494,0.8501681525065511,0.0001,0.0005,0.001,1120.0482773557305,93.74689283478074,19.30335142277181
5,0.8204388681845232,0.8689636363636364,0.7949506652832031,0.864,0.8652683406799486,0.0001,0.0005,0.001,1107.1298513691872,89.50373469700571,17.976559561677277
6,0.7335549627910961,0.8765454545454545,0.7155884704589843,0.8722,0.8734481812409776,0.0001,0.0005,0.001,1220.6633416134864,89.45783297502203,16.488254070281982
7,0.6603226729826494,0.8820363636363636,0.6553365493774415,0.8726,0.8733517704501731,0.0001,0.0005,0.001,1209.6099147945642,88.23374089010758,14.846831046044827
8,0.596937699508667,0.8865454545454545,0.5963136871337891,0.8794,0.880283710482811,0.0001,0.0005,0.001,1231.530557680875,86.74753533059265,13.619618964381516
9,0.545301315498352,0.8914363636363636,0.5530565078735351,0.8812,0.8822427308112564,0.0001,0.0005,0.001,inf,86.43984815699514,12.222084009088576
10,0.5047893275564367,0.8952181818181818,0.5165351989746094,0.8882,0.8890866946007492,0.0001,0.0005,0.001,1264.9210654813796,86.12064756866312,11.236709534190595
11,0.4736808266856454,0.8983454545454546,0.48933612670898435,0.8918,0.8927749677463964,0.0001,0.0005,0.001,1346.402835180983,86.53613167477306,10.405941188335419
12,0.44790524422038686,0.9008909090909091,0.4663473571777344,0.8948,0.8955229448192418,0.0001,0.0005,0.001,1260.9008764121681,87.46045321592828,9.875566193833947
