epoch,train_loss,train_accuracy,validation_loss,validation_accuracy,validation_macro_f1,extractor_lr,quantum_lr,head_lr,extractor_grad_sum,quantum_grad_sum,head_grad_sum
1,2.0479149871305986,0.5327636363636363,1.7696210205078124,0.6722,0.6705487127825317,0.0001,0.0005,0.003,0.0,41.2985357951693,25.6149258967489
2,1.47887838752053,0.7266363636363636,1.2594458648681641,0.7418,0.7426768518804187,0.0001,0.0005,0.003,0.0,83.68044876866043,24.083869610913098
3,1.125619112708352,0.7966727272727273,1.0770697418212891,0.798,0.7994215837338097,0.0001,0.0005,0.001,1273.4113050000742,109.71744978497736,22.36596949584782
4,0.9922848048556935,0.8246181818181818,0.9493314819335937,0.8268,0.8286931648449528,0.0001,0.0005,0.001,1311.2752556428313,97.38059220812283,22.08017072919756
5,0.8799375468080693,0.8412909090909091,0.8478216979980469,0.8368,0.8383125161965113,0.0001,0.0005,0.001,1303.559758696705,92.1559291142039,20.813422126695514
6,0.7838615865273909,0.8554727272727273,0.7612044403076171,0.8486,0.8500876057146884,0.0001,0.0005,0.001,inf,89.75545366597362,18.962262311950326
7,0.7063944255828858,0.8624,0.6851111389160156,0.8566,0.8579786031555784,0.0001,0.0005,0.001,1435.5222058612853,89.7799378472846,16.819792503491044
8,0.6418154430389404,0.8687818181818182,0.63324267578125,0.8622,0.8632701809336869,0.0001,0.0005,0.001,1383.0206104237586,86.92486031819135,15.342906006611884
9,0.5905957378474149,0.8747818181818182,0.586155027770996,0.8682,0.8692406244148445,0.0001,0.0005,0.001,1509.4563969150186,88.58032902609557,13.910412151366472
10,0.5489662447365847,0.8810727272727272,0.5523142852783203,0.875,0.8757734311495217,0.0001,0.0005,0.001,1465.6846920307726,87.2706525430549,12.641173027455807
11,0.5209320017901334,0.8844363636363637,0.5267238677978515,0.879,0.8795531932465446,0.0001,0.0005,0.001,1636.3546024411917,93.32052792340983,11.799706112593412
12,0.49435477005351675,0.8878545454545455,0.5004252609252929,0.8812,0.8821448627618885,0.0001,0.0005,0.001,1731.5720224231482,95.23862154502422,11.30718256905675
