epoch,train_loss,train_accuracy,validation_loss,validation_accuracy,validation_macro_f1
1,0.3751264072179794,0.9302181818181818,0.14670075073242186,0.968,0.9680117677444976
2,0.10813947902484373,0.9747090909090909,0.14734113693237305,0.9574,0.9573720984095839
3,0.07799486225518314,0.9793818181818181,0.10022279987335204,0.9724,0.9723493493597232
4,0.05991834541288289,0.9840727272727273,0.09627763571739197,0.9738,0.9737938411348154
5,0.052236771470850166,0.9855818181818182,0.08992927322387695,0.9714,0.9714089354773788
6,0.04552898920313878,0.9872181818181818,0.09692258682250976,0.9718,0.9718772578047844
7,0.039979850352894176,0.9891090909090909,0.08955059127807617,0.9746,0.9746185527914815
8,0.037130879867076874,0.9892363636363637,0.11428663697242737,0.966,0.9659446358242911
9,0.03299190394173969,0.9903636363636363,0.09772993955612183,0.9692,0.9692332824506356
10,0.030037928056039595,0.9913818181818181,0.10268140187263489,0.9692,0.9691898458683698
