epoch,train_loss,train_accuracy,validation_loss,validation_accuracy,validation_macro_f1
1,0.5896872011163018,0.8779636363636364,0.2516116371154785,0.9354,0.9355220485321627
2,0.15820019228350032,0.9605272727272727,0.17117339782714844,0.9494,0.9492084012931239
3,0.10945778038176623,0.9696727272727272,0.15476630029678345,0.9542,0.9540325837687558
4,0.08812468761639161,0.975,0.14585466537475586,0.9552,0.9551094449916882
5,0.07591757121627982,0.9787272727272728,0.10042141361236573,0.9708,0.9707670085688334
6,0.06734581549601121,0.9807818181818182,0.09271479649543762,0.9714,0.9713896127389716
7,0.06120123303695159,0.9821090909090909,0.08827503719329834,0.9742,0.9741928354357162
8,0.05779501139033925,0.9830181818181818,0.10889989280700683,0.9636,0.9635428206657066
9,0.05158370784792033,0.9849636363636364,0.09708409957885743,0.9684,0.9684119874230885
10,0.048708220666917885,0.9855272727272727,0.11054780693054199,0.9638,0.9636564615272578
