epoch,train_loss,train_accuracy,validation_loss,validation_accuracy,best_validation_accuracy,learning_rate,epoch_runtime_seconds,gpu_memory_bytes
1,2.2661441456187856,0.1723090909090909,2.205171746826172,0.2266,0.2266,0.003,57.987515999993775,67221504
2,2.142926239741932,0.246,2.081469805908203,0.26,0.26,0.003,57.78317060001427,67221504
3,2.0278251755107535,0.2914909090909091,2.003107940673828,0.3004,0.3004,0.003,57.798922799993306,67221504
4,1.9677642061753706,0.31676363636363636,1.9584875732421876,0.3218,0.3218,0.003,57.929739099985454,67221504
5,1.9294676596728237,0.32989090909090907,1.9275189331054687,0.3306,0.3306,0.003,58.04886560002342,67221504
6,1.902815340388905,0.33847272727272726,1.9070339965820313,0.3402,0.3402,0.003,58.027264299977105,67221504
7,1.8836001182382758,0.34556363636363635,1.8908815856933594,0.3466,0.3466,0.003,57.75913829996716,67221504
8,1.8689915326725353,0.35263636363636364,1.8783888763427734,0.35,0.35,0.003,57.88348670001142,67221504
9,1.857163246796348,0.3548545454545455,1.8679322357177734,0.3572,0.3572,0.003,58.037947099946905,67221504
10,1.8473061218435114,0.35872727272727273,1.858715512084961,0.3584,0.3584,0.003,57.99822979996679,67221504
11,1.838343498021906,0.3619636363636364,1.8497192504882813,0.3614,0.3614,0.003,58.004677499993704,67221504
12,1.8303305357672952,0.3634363636363636,1.8414361511230468,0.364,0.364,0.003,57.933520299964584,67221504
13,1.823247578759627,0.36625454545454544,1.8321999786376952,0.364,0.364,0.003,57.94540040002903,67221504
14,1.8166884975259954,0.3679636363636364,1.8267971740722657,0.364,0.364,0.003,58.130462200031616,67221504
15,1.8111172028454867,0.369,1.8203858978271485,0.3676,0.3676,0.003,57.86436050001066,67221504
